Scientific Colour Map Categorical Palette
bilbao 100 scrambled Swatches
248 248 248	bilbao-1 #F8F8F8
 77   0   1	bilbao-251 #4D0001
169 133 101	bilbao-126 #A98565
192 186 162	bilbao-63 #C0BAA2
147  74  71	bilbao-188 #934A47
180 163 122	bilbao-94 #B4A37A
161 105  89	bilbao-157 #A16959
211 210 205	bilbao-32 #D3D2CD
114  38  37	bilbao-220 #722625
174 147 108	bilbao-110 #AE936C
131  56  55	bilbao-204 #833837
229 229 228	bilbao-16 #E5E5E4
 95  19  21	bilbao-236 #5F1315
165 119  94	bilbao-142 #A5775E
186 176 141	bilbao-79 #BAB08D
199 196 182	bilbao-48 #C7C4B6
156  90  81	bilbao-173 #9C5A51
205 202 194	bilbao-40 #CDCAC2
177 155 114	bilbao-102 #B19B72
167 126  98	bilbao-134 #A77E62
220 219 217	bilbao-24 #DCDBD9
123  47  46	bilbao-212 #7B2F2E
159  98  85	bilbao-165 #9F6255
104  29  29	bilbao-228 #681D1D
171 140 104	bilbao-118 #AB8C68
189 181 152	bilbao-71 #BDB598
139  65  63	bilbao-196 #8B413F
151  82  76	bilbao-181 #97524C
 86  10  13	bilbao-243 #560A0D
196 191 173	bilbao-55 #C4BFAD
163 112  92	bilbao-149 #A3705C
238 238 238	bilbao-9 #EEEEEE
183 170 131	bilbao-87 #B7AA83
185 173 136	bilbao-83 #B9AD88
188 179 146	bilbao-75 #BCB392
170 136 102	bilbao-122 #AA8866
172 144 106	bilbao-114 #AC906A
178 159 118	bilbao-98 #B29F76
160 102  87	bilbao-161 #A06657
136  60  59	bilbao-200 #883C3B
168 129  99	bilbao-130 #A88163
175 151 111	bilbao-106 #AF976F
215 215 211	bilbao-28 #D7D7D3
243 243 243	bilbao-5 #F3F3F3
191 184 157	bilbao-67 #BFB89D
166 122  96	bilbao-138 #A67A60
127  51  50	bilbao-208 #7F3332
 81   5   8	bilbao-247 #510508
100  24  25	bilbao-232 #641819
162 109  90	bilbao-153 #A26D5A
202 199 188	bilbao-44 #CAC7BC
118  42  42	bilbao-216 #762A2A
143  70  67	bilbao-192 #8F4643
154  86  79	bilbao-177 #9A564F
157  94  83	bilbao-169 #9D5E53
225 224 223	bilbao-20 #E1E0DF
194 188 167	bilbao-59 #C2BCA7
208 206 199	bilbao-36 #D0CEC7
109  33  33	bilbao-224 #6D2121
198 194 178	bilbao-51 #C6C2B2
233 233 232	bilbao-13 #E9E9E8
149  78  73	bilbao-185 #954E49
 90  14  17	bilbao-240 #5A0E11
164 116  93	bilbao-145 #A4745D
181 167 127	bilbao-90 #B5A77F
167 124  97	bilbao-136 #A77C61
157  92  82	bilbao-171 #9D5C52
236 236 235	bilbao-11 #ECECEB
129  54  52	bilbao-206 #813634
145  72  69	bilbao-190 #914845
210 208 202	bilbao-34 #D2D0CA
169 131 100	bilbao-128 #A98364
185 175 139	bilbao-81 #B9AF8B
166 120  95	bilbao-140 #A6785F
177 157 116	bilbao-100 #B19D74
176 153 112	bilbao-104 #B09970
201 197 185	bilbao-46 #C9C5B9
192 185 159	bilbao-65 #C0B99F
246 246 246	bilbao-3 #F6F6F6
 97  22  23	bilbao-234 #611617
155  88  80	bilbao-175 #9B5850
 92  17  19	bilbao-238 #5C1113
203 200 191	bilbao-42 #CBC8BF
107  31  31	bilbao-226 #6B1F1F
138  63  61	bilbao-198 #8A3F3D
164 114  93	bilbao-147 #A4725D
173 145 107	bilbao-112 #AD916B
190 183 154	bilbao-69 #BEB79A
141  67  65	bilbao-194 #8D4341
195 190 170	bilbao-57 #C3BEAA
222 222 220	bilbao-22 #DEDEDC
133  58  57	bilbao-202 #853A39
159 100  86	bilbao-163 #9F6456
153  84  77	bilbao-179 #99544D
162 107  89	bilbao-155 #A26B59
179 161 120	bilbao-96 #B3A178
181 165 124	bilbao-92 #B5A57C
116  40  39	bilbao-218 #742827
189 180 149	bilbao-73 #BDB495
120  44  44	bilbao-214 #782C2C
