Scientific Colour Map Categorical Palette
bilbao 50 Swatches
255 255 255	bilbao-1 #FFFFFF
248 248 248	bilbao-6 #F8F8F8
242 242 242	bilbao-11 #F2F2F2
234 234 234	bilbao-17 #EAEAEA
228 228 227	bilbao-22 #E4E4E3
222 222 220	bilbao-27 #DEDEDC
217 216 213	bilbao-32 #D9D8D5
211 210 205	bilbao-37 #D3D2CD
206 204 196	bilbao-43 #CECCC4
202 200 189	bilbao-48 #CAC8BD
199 196 182	bilbao-53 #C7C4B6
197 192 175	bilbao-58 #C5C0AF
194 189 169	bilbao-63 #C2BDA9
192 185 161	bilbao-69 #C0B9A1
190 183 154	bilbao-74 #BEB79A
188 179 148	bilbao-79 #BCB394
186 176 141	bilbao-84 #BAB08D
184 172 135	bilbao-89 #B8AC87
181 167 127	bilbao-95 #B5A77F
179 162 121	bilbao-100 #B3A279
177 157 116	bilbao-105 #B19D74
175 152 112	bilbao-110 #AF9870
174 147 108	bilbao-115 #AE936C
172 142 105	bilbao-121 #AC8E69
171 137 103	bilbao-126 #AB8967
169 133 101	bilbao-131 #A98565
168 128  99	bilbao-136 #A88063
166 123  96	bilbao-142 #A67B60
165 119  94	bilbao-147 #A5775E
164 114  93	bilbao-152 #A4725D
163 110  91	bilbao-157 #A36E5B
161 105  89	bilbao-162 #A16959
159 100  86	bilbao-168 #9F6456
158  95  84	bilbao-173 #9E5F54
156  90  81	bilbao-178 #9C5A51
153  85  78	bilbao-183 #99554E
150  80  75	bilbao-188 #96504B
146  73  70	bilbao-194 #924946
141  67  65	bilbao-199 #8D4341
137  62  60	bilbao-204 #893E3C
131  56  55	bilbao-209 #833837
126  50  49	bilbao-214 #7E3231
119  43  43	bilbao-220 #772B2B
114  38  37	bilbao-225 #722625
108  32  32	bilbao-230 #6C2020
102  26  27	bilbao-235 #661A1B
 96  21  22	bilbao-240 #601516
 89  13  16	bilbao-246 #590D10
 83   6   9	bilbao-251 #530609
 77   0   1	bilbao-256 #4D0001
