Scientific Colour Map Categorical Palette
grayC 100 scrambled Swatches
249 249 249	grayC-1 #F9F9F9
  6   6   6	grayC-247 #060606
118 118 118	grayC-124 #767676
182 182 182	grayC-62 #B6B6B6
 60  60  60	grayC-186 #3C3C3C
 89  89  89	grayC-155 #595959
150 150 150	grayC-93 #969696
 35  35  35	grayC-216 #232323
215 215 215	grayC-32 #D7D7D7
166 166 166	grayC-77 #A6A6A6
133 133 133	grayC-109 #858585
 47  47  47	grayC-201 #2F2F2F
 75  75  75	grayC-170 #4B4B4B
 23  23  23	grayC-231 #171717
103 103 103	grayC-140 #676767
198 198 198	grayC-47 #C6C6C6
231 231 231	grayC-17 #E7E7E7
240 240 240	grayC-9 #F0F0F0
141 141 141	grayC-101 #8D8D8D
 67  67  67	grayC-178 #434343
 16  16  16	grayC-239 #101010
158 158 158	grayC-85 #9E9E9E
111 111 111	grayC-132 #6F6F6F
 54  54  54	grayC-193 #363636
224 224 224	grayC-24 #E0E0E0
 42  42  42	grayC-208 #2A2A2A
206 206 206	grayC-40 #CECECE
125 125 125	grayC-117 #7D7D7D
175 175 175	grayC-69 #AFAFAF
 96  96  96	grayC-147 #606060
 81  81  81	grayC-163 #515151
191 191 191	grayC-54 #BFBFBF
 29  29  29	grayC-223 #1D1D1D
154 154 154	grayC-89 #9A9A9A
 26  26  26	grayC-227 #1A1A1A
129 129 129	grayC-113 #818181
146 146 146	grayC-97 #929292
210 210 210	grayC-36 #D2D2D2
 11  11  11	grayC-243 #0B0B0B
137 137 137	grayC-105 #898989
 51  51  51	grayC-197 #333333
 92  92  92	grayC-151 #5C5C5C
171 171 171	grayC-73 #ABABAB
 38  38  38	grayC-212 #262626
 71  71  71	grayC-174 #474747
162 162 162	grayC-81 #A2A2A2
 64  64  64	grayC-182 #404040
 20  20  20	grayC-235 #141414
186 186 186	grayC-58 #BABABA
219 219 219	grayC-28 #DBDBDB
114 114 114	grayC-128 #727272
 85  85  85	grayC-159 #555555
236 236 236	grayC-13 #ECECEC
107 107 107	grayC-136 #6B6B6B
245 245 245	grayC-5 #F5F5F5
100 100 100	grayC-143 #646464
194 194 194	grayC-51 #C2C2C2
227 227 227	grayC-21 #E3E3E3
179 179 179	grayC-65 #B3B3B3
202 202 202	grayC-44 #CACACA
 58  58  58	grayC-189 #3A3A3A
122 122 122	grayC-120 #7A7A7A
 32  32  32	grayC-220 #202020
 45  45  45	grayC-204 #2D2D2D
 78  78  78	grayC-166 #4E4E4E
131 131 131	grayC-111 #838383
217 217 217	grayC-30 #D9D9D9
247 247 247	grayC-3 #F7F7F7
 62  62  62	grayC-184 #3E3E3E
152 152 152	grayC-91 #989898
 49  49  49	grayC-199 #313131
135 135 135	grayC-107 #878787
127 127 127	grayC-115 #7F7F7F
234 234 234	grayC-15 #EAEAEA
229 229 229	grayC-19 #E5E5E5
208 208 208	grayC-38 #D0D0D0
 87  87  87	grayC-157 #575757
168 168 168	grayC-75 #A8A8A8
 33  33  33	grayC-218 #212121
 28  28  28	grayC-225 #1C1C1C
 14  14  14	grayC-241 #0E0E0E
113 113 113	grayC-130 #717171
177 177 177	grayC-67 #B1B1B1
173 173 173	grayC-71 #ADADAD
 98  98  98	grayC-145 #626262
 56  56  56	grayC-191 #383838
148 148 148	grayC-95 #949494
116 116 116	grayC-126 #747474
 77  77  77	grayC-168 #4D4D4D
 22  22  22	grayC-233 #161616
204 204 204	grayC-42 #CCCCCC
 66  66  66	grayC-180 #424242
 94  94  94	grayC-149 #5E5E5E
139 139 139	grayC-103 #8B8B8B
 25  25  25	grayC-229 #191919
156 156 156	grayC-87 #9C9C9C
196 196 196	grayC-49 #C4C4C4
 83  83  83	grayC-161 #535353
 73  73  73	grayC-172 #494949
164 164 164	grayC-79 #A4A4A4
