Scientific Colour Map Categorical Palette
grayC 50 Swatches
255 255 255	grayC-1 #FFFFFF
249 249 249	grayC-6 #F9F9F9
244 244 244	grayC-11 #F4F4F4
237 237 237	grayC-17 #EDEDED
231 231 231	grayC-22 #E7E7E7
226 226 226	grayC-27 #E2E2E2
220 220 220	grayC-32 #DCDCDC
215 215 215	grayC-37 #D7D7D7
208 208 208	grayC-43 #D0D0D0
203 203 203	grayC-48 #CBCBCB
197 197 197	grayC-53 #C5C5C5
192 192 192	grayC-58 #C0C0C0
186 186 186	grayC-63 #BABABA
180 180 180	grayC-69 #B4B4B4
175 175 175	grayC-74 #AFAFAF
169 169 169	grayC-79 #A9A9A9
164 164 164	grayC-84 #A4A4A4
159 159 159	grayC-89 #9F9F9F
153 153 153	grayC-95 #999999
148 148 148	grayC-100 #949494
143 143 143	grayC-105 #8F8F8F
137 137 137	grayC-110 #898989
132 132 132	grayC-115 #848484
126 126 126	grayC-121 #7E7E7E
121 121 121	grayC-126 #797979
116 116 116	grayC-131 #747474
112 112 112	grayC-136 #707070
106 106 106	grayC-142 #6A6A6A
101 101 101	grayC-147 #656565
 96  96  96	grayC-152 #606060
 91  91  91	grayC-157 #5B5B5B
 87  87  87	grayC-162 #575757
 81  81  81	grayC-168 #515151
 77  77  77	grayC-173 #4D4D4D
 72  72  72	grayC-178 #484848
 67  67  67	grayC-183 #434343
 63  63  63	grayC-188 #3F3F3F
 58  58  58	grayC-194 #3A3A3A
 53  53  53	grayC-199 #353535
 49  49  49	grayC-204 #313131
 45  45  45	grayC-209 #2D2D2D
 41  41  41	grayC-214 #292929
 36  36  36	grayC-220 #242424
 32  32  32	grayC-225 #202020
 28  28  28	grayC-230 #1C1C1C
 24  24  24	grayC-235 #181818
 20  20  20	grayC-240 #141414
 14  14  14	grayC-246 #0E0E0E
  7   7   7	grayC-251 #070707
  0   0   0	grayC-256 #000000
