Scientific Colour Map Categorical Palette
imola 100 scrambled Swatches
 26  51 179	imola-1 #1A33B3
255 255 102	imola-256 #FFFF66
 84 134 127	imola-129 #54867F
 48  94 157	imola-65 #305E9D
146 196 110	imola-193 #92C46E
 63 113 142	imola-97 #3F718E
 37  73 168	imola-33 #2549A8
113 164 119	imola-161 #71A477
191 231 103	imola-225 #BFE767
 32  62 173	imola-17 #203EAD
129 180 115	imola-177 #81B473
 43  83 162	imola-49 #2B53A2
 72 123 134	imola-113 #487B86
164 214 106	imola-209 #A4D66A
 98 148 122	imola-145 #62947A
 55 104 150	imola-81 #376896
221 244 102	imola-240 #DDF466
 45  89 160	imola-57 #2D59A0
 59 108 146	imola-89 #3B6C92
 51  99 154	imola-73 #33639A
238 249 102	imola-248 #EEF966
 29  57 176	imola-9 #1D39B0
105 156 121	imola-153 #699C79
 40  78 165	imola-41 #284EA5
155 205 108	imola-201 #9BCD6C
 68 118 138	imola-105 #44768A
121 172 117	imola-169 #79AC75
176 223 104	imola-217 #B0DF68
 78 128 130	imola-121 #4E8082
 35  68 170	imola-25 #2344AA
 91 141 125	imola-137 #5B8D7D
137 188 113	imola-185 #89BC71
207 238 102	imola-233 #CFEE66
230 246 102	imola-244 #E6F666
 70 120 136	imola-109 #467888
198 235 103	imola-229 #C6EB67
 28  54 177	imola-5 #1C36B1
102 152 122	imola-149 #66987A
141 192 112	imola-189 #8DC070
 44  86 161	imola-53 #2C56A1
183 227 104	imola-221 #B7E368
125 176 116	imola-173 #7DB074
150 201 109	imola-197 #96C96D
 81 131 128	imola-125 #518380
117 168 118	imola-165 #75A876
 50  96 155	imola-69 #32609B
 41  81 164	imola-45 #2951A4
 53 101 152	imola-77 #356598
 87 138 126	imola-133 #578A7E
159 210 107	imola-205 #9FD26B
 47  91 158	imola-61 #2F5B9E
 61 111 144	imola-93 #3D6F90
170 218 105	imola-213 #AADA69
 75 125 132	imola-117 #4B7D84
247 252 102	imola-252 #F7FC66
 33  65 172	imola-21 #2141AC
109 160 120	imola-157 #6DA078
 65 115 140	imola-101 #41738C
 36  70 169	imola-29 #2446A9
 57 106 148	imola-85 #396A94
 39  76 166	imola-37 #274CA6
133 184 114	imola-181 #85B872
 94 145 123	imola-141 #5E917B
 31  60 174	imola-13 #1F3CAE
213 240 102	imola-236 #D5F066
100 150 122	imola-147 #64967A
131 182 114	imola-179 #83B672
144 194 111	imola-191 #90C26F
148 199 110	imola-195 #94C76E
 60 110 145	imola-91 #3C6E91
 66 116 139	imola-103 #42748B
234 248 102	imola-246 #EAF866
 92 143 124	imola-139 #5C8F7C
173 221 105	imola-215 #ADDD69
 46  90 159	imola-59 #2E5A9F
103 154 121	imola-151 #679A79
 89 139 125	imola-135 #598B7D
242 251 102	imola-250 #F2FB66
 33  64 172	imola-19 #2140AC
 74 124 133	imola-115 #4A7C85
 79 129 129	imola-123 #4F8181
 34  66 171	imola-23 #2242AB
194 233 103	imola-227 #C2E967
180 225 104	imola-219 #B4E168
 62 112 143	imola-95 #3E708F
139 190 112	imola-187 #8BBE70
 38  74 167	imola-35 #264AA7
107 158 120	imola-155 #6B9E78
 45  87 160	imola-55 #2D57A0
 64 114 141	imola-99 #40728D
167 216 106	imola-211 #A7D86A
 41  80 164	imola-43 #2950A4
 49  95 156	imola-67 #315F9C
 71 121 135	imola-111 #477987
 52 100 153	imola-75 #346499
157 207 108	imola-203 #9DCF6C
251 254 102	imola-254 #FBFE66
 35  69 170	imola-27 #2345AA
 43  85 162	imola-51 #2B55A2
123 174 116	imola-171 #7BAE74
