Scientific Colour Map Categorical Palette
imola 50 Swatches
 26  51 179	imola-1 #1A33B3
 28  55 177	imola-6 #1C37B1
 30  58 175	imola-11 #1E3AAF
 32  62 173	imola-17 #203EAD
 34  66 171	imola-22 #2242AB
 35  69 170	imola-27 #2345AA
 37  72 168	imola-32 #2548A8
 39  76 166	imola-37 #274CA6
 41  80 164	imola-43 #2950A4
 42  83 163	imola-48 #2A53A3
 44  86 161	imola-53 #2C56A1
 46  89 159	imola-58 #2E599F
 47  93 158	imola-63 #2F5D9E
 50  96 155	imola-69 #32609B
 52 100 153	imola-74 #346499
 54 103 151	imola-79 #366797
 56 106 149	imola-84 #386A95
 59 108 146	imola-89 #3B6C92
 62 112 143	imola-95 #3E708F
 65 115 140	imola-100 #41738C
 68 118 138	imola-105 #44768A
 70 121 135	imola-110 #467987
 74 124 133	imola-115 #4A7C85
 78 128 130	imola-121 #4E8082
 81 132 128	imola-126 #518480
 86 136 126	imola-131 #56887E
 90 140 125	imola-136 #5A8C7D
 95 146 123	imola-142 #5F927B
100 150 122	imola-147 #64967A
104 155 121	imola-152 #689B79
109 160 120	imola-157 #6DA078
114 165 118	imola-162 #72A576
120 171 117	imola-168 #78AB75
125 176 116	imola-173 #7DB074
130 181 114	imola-178 #82B572
135 186 113	imola-183 #87BA71
140 191 112	imola-188 #8CBF70
147 198 110	imola-194 #93C66E
152 203 109	imola-199 #98CB6D
158 208 108	imola-204 #9ED06C
164 214 106	imola-209 #A4D66A
172 219 105	imola-214 #ACDB69
181 226 104	imola-220 #B5E268
191 231 103	imola-225 #BFE767
200 235 103	imola-230 #C8EB67
211 240 102	imola-235 #D3F066
221 244 102	imola-240 #DDF466
234 248 102	imola-246 #EAF866
245 251 102	imola-251 #F5FB66
255 255 102	imola-256 #FFFF66
