Scientific Colour Map Categorical Palette
lapaz 100 scrambled Swatches
 26  12 100	lapaz-1 #1A0C64
254 242 243	lapaz-256 #FEF2F3
 92 140 163	lapaz-129 #5C8CA3
 45  83 147	lapaz-65 #2D5393
181 173 150	lapaz-193 #B5AD96
134 158 155	lapaz-161 #869E9B
 36  50 126	lapaz-33 #24327E
 61 113 160	lapaz-97 #3D71A0
235 207 187	lapaz-225 #EBCFBB
112 151 160	lapaz-145 #7097A0
 51  98 155	lapaz-81 #33629B
210 187 162	lapaz-209 #D2BBA2
 75 128 163	lapaz-113 #4B80A3
 32  32 113	lapaz-17 #202071
156 165 150	lapaz-177 #9CA596
 40  66 137	lapaz-49 #284289
249 226 216	lapaz-241 #F9E2D8
 38  58 132	lapaz-41 #263A84
195 179 154	lapaz-201 #C3B39A
168 168 149	lapaz-185 #A8A895
 48  91 151	lapaz-73 #305B97
 42  75 142	lapaz-57 #2A4B8E
 67 121 162	lapaz-105 #4379A2
223 197 173	lapaz-217 #DFC5AD
145 162 152	lapaz-169 #91A298
 83 134 164	lapaz-121 #5386A4
102 146 162	lapaz-137 #6692A2
 34  41 120	lapaz-25 #222978
123 155 158	lapaz-153 #7B9B9E
 56 106 158	lapaz-89 #386A9E
 29  23 107	lapaz-9 #1D176B
244 217 201	lapaz-233 #F4D9C9
252 235 230	lapaz-249 #FCEBE6
240 212 194	lapaz-229 #F0D4C2
162 166 150	lapaz-181 #A2A696
 43  79 145	lapaz-61 #2B4F91
139 160 154	lapaz-165 #8BA09A
 35  45 123	lapaz-29 #232D7B
 37  54 129	lapaz-37 #253681
 41  71 140	lapaz-53 #29478C
 39  62 135	lapaz-45 #273E87
118 153 159	lapaz-149 #76999F
 30  28 110	lapaz-13 #1E1C6E
217 192 167	lapaz-213 #D9C0A7
174 170 149	lapaz-189 #AEAA95
247 222 209	lapaz-237 #F7DED1
 79 131 164	lapaz-117 #4F83A4
128 157 157	lapaz-157 #809D9D
230 202 180	lapaz-221 #E6CAB4
 87 137 164	lapaz-125 #5789A4
 49  94 153	lapaz-77 #315E99
251 231 223	lapaz-245 #FBE7DF
 28  18 104	lapaz-5 #1C1268
 58 110 159	lapaz-93 #3A6E9F
202 183 157	lapaz-205 #CAB79D
 64 117 161	lapaz-101 #4075A1
 53 102 156	lapaz-85 #35669C
 33  37 117	lapaz-21 #212575
188 176 152	lapaz-197 #BCB098
 46  87 149	lapaz-69 #2E5795
 97 143 163	lapaz-133 #618FA3
107 148 161	lapaz-141 #6B94A1
151 163 151	lapaz-173 #97A397
 71 124 163	lapaz-109 #477CA3
253 238 236	lapaz-252 #FDEEEC
 30  25 109	lapaz-11 #1E196D
213 189 164	lapaz-211 #D5BDA4
 55 104 157	lapaz-87 #37689D
220 194 170	lapaz-215 #DCC2AA
 44  81 146	lapaz-63 #2C5192
115 152 160	lapaz-147 #7398A0
248 224 212	lapaz-239 #F8E0D4
 31  30 112	lapaz-15 #1F1E70
 32  35 115	lapaz-19 #202373
 28  20 105	lapaz-7 #1C1469
153 164 151	lapaz-175 #99A497
126 156 157	lapaz-155 #7E9C9D
 37  56 130	lapaz-39 #253882
191 177 153	lapaz-199 #BFB199
131 158 156	lapaz-159 #839E9C
 35  48 124	lapaz-31 #23307C
 36  52 127	lapaz-35 #24347F
 41  73 141	lapaz-55 #29498D
199 181 156	lapaz-203 #C7B59C
 39  64 136	lapaz-47 #274088
 52 100 156	lapaz-83 #34649C
 57 108 158	lapaz-91 #396C9E
 40  69 139	lapaz-51 #28458B
237 210 190	lapaz-227 #EDD2BE
165 167 149	lapaz-183 #A5A795
171 169 149	lapaz-187 #ABA995
142 161 153	lapaz-167 #8EA199
 94 142 163	lapaz-131 #5E8EA3
 66 119 162	lapaz-103 #4277A2
148 162 152	lapaz-171 #94A298
 38  60 133	lapaz-43 #263C85
 45  85 148	lapaz-67 #2D5594
 27  15 102	lapaz-3 #1B0F66
252 233 227	lapaz-247 #FCE9E3
254 240 239	lapaz-254 #FEF0EF
