Scientific Colour Map Categorical Palette
lapaz 50 Swatches
 26  12 100	lapaz-1 #1A0C64
 28  19 104	lapaz-6 #1C1368
 30  25 109	lapaz-11 #1E196D
 32  32 113	lapaz-17 #202071
 33  38 117	lapaz-22 #212675
 34  43 121	lapaz-27 #222B79
 35  49 125	lapaz-32 #23317D
 37  54 129	lapaz-37 #253681
 38  60 133	lapaz-43 #263C85
 39  65 137	lapaz-48 #274189
 41  71 140	lapaz-53 #29478C
 42  76 143	lapaz-58 #2A4C8F
 44  81 146	lapaz-63 #2C5192
 46  87 149	lapaz-69 #2E5795
 48  92 152	lapaz-74 #305C98
 50  96 154	lapaz-79 #32609A
 53 101 156	lapaz-84 #35659C
 56 106 158	lapaz-89 #386A9E
 60 112 160	lapaz-95 #3C70A0
 63 116 161	lapaz-100 #3F74A1
 67 121 162	lapaz-105 #4379A2
 72 125 163	lapaz-110 #487DA3
 77 129 163	lapaz-115 #4D81A3
 83 134 164	lapaz-121 #5386A4
 88 138 163	lapaz-126 #588AA3
 94 142 163	lapaz-131 #5E8EA3
101 145 162	lapaz-136 #6591A2
108 149 161	lapaz-142 #6C95A1
115 152 160	lapaz-147 #7398A0
122 154 158	lapaz-152 #7A9A9E
128 157 157	lapaz-157 #809D9D
135 159 155	lapaz-162 #879F9B
144 161 153	lapaz-168 #90A199
151 163 151	lapaz-173 #97A397
158 165 150	lapaz-178 #9EA596
165 167 149	lapaz-183 #A5A795
173 170 149	lapaz-188 #ADAA95
183 173 150	lapaz-194 #B7AD96
191 177 153	lapaz-199 #BFB199
200 182 156	lapaz-204 #C8B69C
210 187 162	lapaz-209 #D2BBA2
218 193 168	lapaz-214 #DAC1A8
228 201 178	lapaz-220 #E4C9B2
235 207 187	lapaz-225 #EBCFBB
241 213 196	lapaz-230 #F1D5C4
245 219 205	lapaz-235 #F5DBCD
249 225 214	lapaz-240 #F9E1D6
251 232 225	lapaz-246 #FBE8E1
253 237 234	lapaz-251 #FDEDEA
254 242 243	lapaz-256 #FEF2F3
