Scientific Colour Map Categorical Palette
lisbon 100 Swatches
230 229 255	lisbon-1 #E6E5FF
221 224 250	lisbon-4 #DDE0FA
216 220 247	lisbon-6 #D8DCF7
208 214 242	lisbon-9 #D0D6F2
203 210 239	lisbon-11 #CBD2EF
195 204 234	lisbon-14 #C3CCEA
189 200 231	lisbon-16 #BDC8E7
181 194 226	lisbon-19 #B5C2E2
173 188 222	lisbon-22 #ADBCDE
168 185 218	lisbon-24 #A8B9DA
160 179 214	lisbon-27 #A0B3D6
155 175 211	lisbon-29 #9BAFD3
147 169 206	lisbon-32 #93A9CE
142 165 203	lisbon-34 #8EA5CB
134 160 198	lisbon-37 #86A0C6
126 154 193	lisbon-40 #7E9AC1
121 150 190	lisbon-42 #7996BE
114 144 185	lisbon-45 #7290B9
109 141 182	lisbon-47 #6D8DB6
101 135 177	lisbon-50 #6587B1
 94 129 172	lisbon-53 #5E81AC
 89 125 169	lisbon-55 #597DA9
 81 119 164	lisbon-58 #5177A4
 76 115 160	lisbon-60 #4C73A0
 69 110 155	lisbon-63 #456E9B
 65 106 151	lisbon-65 #416A97
 58 100 145	lisbon-68 #3A6491
 52  94 138	lisbon-71 #345E8A
 48  90 134	lisbon-73 #305A86
 43  85 127	lisbon-76 #2B557F
 40  81 123	lisbon-78 #28517B
 36  76 116	lisbon-81 #244C74
 33  72 111	lisbon-83 #21486F
 30  67 104	lisbon-86 #1E4368
 27  63  97	lisbon-89 #1B3F61
 25  60  93	lisbon-91 #193C5D
 23  55  86	lisbon-94 #173756
 22  52  81	lisbon-96 #163451
 21  48  75	lisbon-99 #15304B
 20  45  70	lisbon-101 #142D46
 19  41  64	lisbon-104 #132940
 18  37  58	lisbon-107 #12253A
 17  35  53	lisbon-109 #112335
 17  32  48	lisbon-112 #112030
 17  30  44	lisbon-114 #111E2C
 17  27  39	lisbon-117 #111B27
 18  26  36	lisbon-119 #121A24
 19  25  32	lisbon-122 #131920
 20  24  28	lisbon-125 #14181C
 21  24  26	lisbon-127 #15181A
 24  25  25	lisbon-130 #181919
 25  26  24	lisbon-132 #191A18
 28  28  23	lisbon-135 #1C1C17
 32  31  24	lisbon-138 #201F18
 35  33  24	lisbon-140 #232118
 39  37  26	lisbon-143 #27251A
 42  40  27	lisbon-145 #2A281B
 47  44  29	lisbon-148 #2F2C1D
 50  47  31	lisbon-150 #322F1F
 55  52  33	lisbon-153 #373421
 60  56  36	lisbon-156 #3C3824
 63  60  38	lisbon-158 #3F3C26
 69  64  41	lisbon-161 #454029
 72  68  43	lisbon-163 #48442B
 77  73  46	lisbon-166 #4D492E
 81  76  49	lisbon-168 #514C31
 87  81  52	lisbon-171 #575134
 92  87  55	lisbon-174 #5C5737
 96  90  57	lisbon-176 #605A39
102  96  61	lisbon-179 #66603D
105  99  63	lisbon-181 #69633F
111 105  67	lisbon-184 #6F6943
115 108  69	lisbon-186 #736C45
121 114  73	lisbon-189 #797249
127 120  76	lisbon-192 #7F784C
131 123  79	lisbon-194 #837B4F
137 129  83	lisbon-197 #898153
141 133  86	lisbon-199 #8D8556
148 139  91	lisbon-202 #948B5B
152 143  94	lisbon-204 #988F5E
158 150  99	lisbon-207 #9E9663
164 156 105	lisbon-210 #A49C69
168 160 108	lisbon-212 #A8A06C
175 167 114	lisbon-215 #AFA772
179 171 119	lisbon-217 #B3AB77
185 177 125	lisbon-220 #B9B17D
191 184 132	lisbon-223 #BFB884
195 188 137	lisbon-225 #C3BC89
201 195 144	lisbon-228 #C9C390
205 199 149	lisbon-230 #CDC795
211 205 157	lisbon-233 #D3CD9D
215 210 162	lisbon-235 #D7D2A2
220 216 169	lisbon-238 #DCD8A9
226 222 177	lisbon-241 #E2DEB1
230 227 182	lisbon-243 #E6E3B6
236 233 190	lisbon-246 #ECE9BE
240 238 195	lisbon-248 #F0EEC3
245 244 203	lisbon-251 #F5F4CB
249 248 209	lisbon-253 #F9F8D1
255 255 217	lisbon-256 #FFFFD9
