Scientific Colour Map Categorical Palette
nuuk 100 scrambled Swatches
  5  89 140	nuuk-1 #05598C
254 254 178	nuuk-256 #FEFEB2
161 166 152	nuuk-129 #A1A698
 83 119 133	nuuk-65 #537785
195 194 133	nuuk-192 #C3C285
220 219 138	nuuk-224 #DCDB8A
 45 100 131	nuuk-33 #2D6483
125 143 145	nuuk-97 #7D8F91
181 181 145	nuuk-160 #B5B591
238 238 156	nuuk-240 #EEEE9C
 63 108 130	nuuk-49 #3F6C82
104 131 139	nuuk-81 #68838B
145 155 150	nuuk-113 #919B96
 28  94 135	nuuk-17 #1C5E87
188 187 139	nuuk-176 #BCBB8B
205 204 131	nuuk-208 #CDCC83
172 174 150	nuuk-144 #ACAE96
191 191 136	nuuk-184 #BFBF88
 73 113 131	nuuk-57 #497183
184 184 142	nuuk-168 #B8B88E
153 160 151	nuuk-121 #99A097
229 229 146	nuuk-232 #E5E592
135 149 148	nuuk-105 #879594
246 246 167	nuuk-248 #F6F6A7
 94 125 136	nuuk-73 #5E7D88
 54 104 130	nuuk-41 #366882
115 137 142	nuuk-89 #73898E
 37  97 133	nuuk-25 #256185
211 211 133	nuuk-216 #D3D385
 19  92 137	nuuk-9 #135C89
199 199 132	nuuk-200 #C7C784
177 177 148	nuuk-152 #B1B194
166 170 151	nuuk-136 #A6AA97
179 179 146	nuuk-156 #B3B392
120 140 144	nuuk-93 #788C90
 68 111 130	nuuk-53 #446F82
 78 116 132	nuuk-61 #4E7484
174 176 149	nuuk-148 #AEB095
149 158 151	nuuk-117 #959E97
202 201 131	nuuk-204 #CAC983
 24  93 136	nuuk-13 #185D88
224 224 142	nuuk-228 #E0E08E
189 189 138	nuuk-180 #BDBD8A
 41  98 132	nuuk-29 #296284
233 233 151	nuuk-236 #E9E997
 59 106 130	nuuk-45 #3B6A82
183 183 144	nuuk-164 #B7B790
169 172 151	nuuk-140 #A9AC97
 50 102 130	nuuk-37 #326682
 13  91 139	nuuk-5 #0D5B8B
208 207 132	nuuk-212 #D0CF84
197 196 132	nuuk-196 #C5C484
140 152 149	nuuk-109 #8C9895
 33  95 134	nuuk-21 #215F86
186 186 141	nuuk-172 #BABA8D
 99 128 137	nuuk-77 #638089
215 215 135	nuuk-220 #D7D787
157 163 152	nuuk-125 #9DA398
110 134 140	nuuk-85 #6E868C
250 250 173	nuuk-252 #FAFAAD
242 242 161	nuuk-244 #F2F2A1
 88 122 134	nuuk-69 #587A86
193 193 135	nuuk-188 #C1C187
130 146 147	nuuk-101 #829293
164 168 151	nuuk-133 #A4A897
138 151 149	nuuk-107 #8A9795
180 180 146	nuuk-158 #B4B492
217 217 136	nuuk-222 #D9D988
187 187 140	nuuk-174 #BBBB8C
159 164 152	nuuk-127 #9FA498
 91 123 135	nuuk-71 #5B7B87
192 192 135	nuuk-186 #C0C087
118 139 143	nuuk-91 #768B8F
173 175 149	nuuk-146 #ADAF95
227 226 144	nuuk-230 #E3E290
210 209 132	nuuk-214 #D2D184
231 231 148	nuuk-234 #E7E794
240 240 158	nuuk-242 #F0F09E
198 198 132	nuuk-198 #C6C684
  9  90 140	nuuk-3 #095A8C
 16  91 138	nuuk-7 #105B8A
 39  97 132	nuuk-27 #276184
 75 115 131	nuuk-59 #4B7383
 26  93 135	nuuk-15 #1A5D87
133 148 147	nuuk-103 #859493
107 132 140	nuuk-83 #6B848C
168 171 151	nuuk-138 #A8AB97
236 235 153	nuuk-238 #ECEB99
 86 120 134	nuuk-67 #567886
112 135 141	nuuk-87 #70878D
206 206 131	nuuk-210 #CECE83
102 129 138	nuuk-79 #66818A
 47 101 131	nuuk-35 #2F6583
162 167 152	nuuk-131 #A2A798
213 213 134	nuuk-218 #D5D586
128 145 146	nuuk-99 #809192
189 188 138	nuuk-178 #BDBC8A
182 182 144	nuuk-162 #B6B690
147 156 151	nuuk-115 #939C97
151 159 151	nuuk-119 #979F97
