Scientific Colour Map Categorical Palette
nuuk 50 Swatches
  5  89 140	nuuk-1 #05598C
 14  91 139	nuuk-6 #0E5B8B
 21  92 137	nuuk-11 #155C89
 28  94 135	nuuk-17 #1C5E87
 34  96 133	nuuk-22 #226085
 39  97 132	nuuk-27 #276184
 44  99 131	nuuk-32 #2C6383
 50 102 130	nuuk-37 #326682
 56 105 130	nuuk-43 #386982
 62 108 130	nuuk-48 #3E6C82
 68 111 130	nuuk-53 #446F82
 74 114 131	nuuk-58 #4A7283
 81 117 132	nuuk-63 #517584
 88 122 134	nuuk-69 #587A86
 95 125 136	nuuk-74 #5F7D88
102 129 138	nuuk-79 #66818A
108 133 140	nuuk-84 #6C858C
115 137 142	nuuk-89 #73898E
123 142 145	nuuk-95 #7B8E91
129 145 146	nuuk-100 #819192
135 149 148	nuuk-105 #879594
141 153 150	nuuk-110 #8D9996
147 156 151	nuuk-115 #939C97
153 160 151	nuuk-121 #99A097
158 164 152	nuuk-126 #9EA498
162 167 152	nuuk-131 #A2A798
166 170 151	nuuk-136 #A6AA97
171 173 150	nuuk-142 #ABAD96
174 175 149	nuuk-147 #AEAF95
177 177 148	nuuk-152 #B1B194
179 180 146	nuuk-157 #B3B492
182 182 144	nuuk-162 #B6B690
184 184 142	nuuk-168 #B8B88E
186 186 140	nuuk-173 #BABA8C
189 188 138	nuuk-178 #BDBC8A
191 190 136	nuuk-183 #BFBE88
193 193 135	nuuk-188 #C1C187
196 195 133	nuuk-194 #C4C385
199 198 132	nuuk-199 #C7C684
202 201 131	nuuk-204 #CAC983
205 205 131	nuuk-209 #CDCD83
210 209 132	nuuk-214 #D2D184
215 215 135	nuuk-220 #D7D787
221 221 139	nuuk-225 #DDDD8B
227 226 144	nuuk-230 #E3E290
232 232 149	nuuk-235 #E8E895
238 238 156	nuuk-240 #EEEE9C
244 244 164	nuuk-246 #F4F4A4
249 249 171	nuuk-251 #F9F9AB
254 254 178	nuuk-256 #FEFEB2
